0	1	0	0	Ifr-Ghe-Pit				RO	0	0	0	0	0	2	1	3	0	0	0	0	0	0
0	1	0	0	Man-Nac-Sol				RO	0	0	0	0	0	4	5	6	0	0	0	0	0	0
0	1	0	0	Tro-Pan-Bir-ABCDEFGHIJK				RO	0	0	0	0	0	7	8	9	0	0	0	0	0	0
0	1	0	0	Dru-Boa-Mah				RO	0	0	0	0	0	10	11	12	0	0	0	0	0	0
0	1	0	0	Dia-Olt-Ign				RO	0	0	0	0	0	13	14	15	0	0	0	0	0	0
0	1	0	0	Mun-Cov-Bra				RO	0	0	0	0	0	16	17	18	0	0	0	0	0	0
0	1	0	0	Rot-Fal-Mar				RO	0	0	0	0	0	19	20	21	0	0	0	0	0	0
0	1	0	0	Cal-Bal-Pop				RO	0	0	0	0	0	22	23	24	0	0	0	0	0	0
0	1	0	0	But-Fed-Fed				RO	0	0	0	0	0	25	26	27	0	0	0	0	0	0
0	1	0	0	Nil-And-Gol				RO	0	0	0	0	0	28	29	30	0	0	0	0	0	0
0	1	0	0	Sin-Orb-Mor				RO	0	0	0	0	0	31	32	33	0	0	0	0	0	0
0	1	0	0	Neg-Rot-Fre				RO	0	0	0	0	0	34	35	36	0	0	0	0	0	0
